Αγαυη	Ἀγαύη
Αλκινοος	Ἀλκίνοος
Αλφειος	Ἀλφειός
Αργολις	Ἀργολίς
Αργος	Ἄργος
Αρες	Ἄρης
Αρης	Ἄρης
Ατθις	Ἀτθίς
Βακχιας	Βακχιάς
Βασσαρις	Βασσαρίς
Βεροη	Βερόη
Δηριαδης	Δηριάδης
Δολιος	Δολῖος
Δουλιχιον	Δουλίχιον
Δρυας	Δρυάς
Ενυω	Ἐνυώ
Εσπεριος	Ἑσπέριος
Ηριδανος	Ἠριδανός
Ικαριος	Ἰκάριος
Ιλισσος	Ἰλισσός
Ινδος	Ἰνδός
Ινδωος	Ἰνδῷος
Ινω	Ἰνώ
Καβειρω	Καβειρώ
Κασσιεπεια	Κασσιέπεια
Καυκασος	Καύκασος
Κεφαλος	Κέφαλος
Κυθερεια	Κυθέρεια
Κυπριδιος	Κυπρίδιος
Μαιονια	Μαιονία
Νεοπτολεμος	Νεοπτόλεμος
Νηρεις	Νηρεΐς
Νηρευς	Νηρεύς
Νικαια	Νίκαια
Νομιος	Νομίος
Ξανθος	Ξάνθος
Ορχομενος	Ὀρχομενός
Πακτωλος	Πακτωλός
Πενθης	Πενθής
Περσεφονεια	Περσεφόνεια
Πηνελοπεια	Πηνελόπεια
Πηνελοπειη	Πηνελοπείη
Πρωτευς	Πρωτεύς
Σατυρος	Σάτυρος
Σειληνος	Σειληνός
Σεμελη	Σεμέλη
Σικελος	Σικελός
Σκυρος	Σκύρος
Σταφυλος	Στάφυλος
Ταφιος	Τάφιος
Τηλεμαχος	Τηλέμαχος
Τιτηνις	Τιτηνίς
Τιτυος	Τιτυός
Τρωιος	Τρώϊος
Τυφων	Τυφῶν
Φαιηκες	Φαίηκες
Φαιηκς	 Φαίηξ
αβρος	ἁβρός
αγακλυτος	ἀγακλυτός
αγαμαι	ἄγαμαι
αγλαια	ἀγλαΐα
αγνωστος	ἄγνωστος
αγος	ἄγος
αγραυλος	ἄγραυλος
αγρυπνος	ἀγρύπνος
αγχεμαχος	ἀγχέμαχος
αδινος	ἀδινός
αειδω	ἀείδω
αεικελιος	ἀεικέλιος
αεξω	ἀέξω
αζομαι	ἅζομαι
αητης	ἀήτης
αθροος	ἀθρόος
αθυρμα	ἀθύρμα
αιγις	αἰγίς
αιδης	ἀΐδης
αιθεριος	αἰθέριος
αιθοψ	αἴθοψ
αινος	αἶνος
αιολος	αἴολος
αισσω	ἀΐσσω
αιστος	ἄιστος
αιστωζω	ἀιστόω
αιτεω	αἰτέω
αιχμητης	αἰχμητής
αιων	αἰών
αλεξανδρος	Ἀλέξανδρος
αλιος	ἅλιος
αλις	ἅλις
αλλοιος	ἀλλοῖος
αλλοτριος	ἀλλότριος
αλς	ἅλς
αλυσσω	ἀλύσσω
αμαρυγμα	ἀμάρυγμα
αμοιβαδις	ἀμοιβαδίς
αμφοτερος	ἀμφότερος
αναγκαιος	ἀναγκαῖος
αναιμωτι	ἀναιμωτί
αναισσω	ἀναΐσσω
αναλκις	ἀνάλκις
αναξ	ἄναξ
ανασσα	ἄνασσα
ανδρομεος	ἀνδρόμεος
ανεμος	ἄνεμος
ανια	ἀνία
αντιβιος	ἀντίβιος
αντιθεος	ἀντίθεος
αντιτυπος	ἀντίτυπος
αξιος	ἄξιος
αοιδη	ἀοιδή
αοιδος	ἀοιδός
απειλη	ἀπειλή
απο	ἀπό
αποθρωσκω	ἀποθρῴσκω
απροιδης	ἀπροϊδής
αργης	ἀργής
αργος	ἀργός
αρμα	ἅρμα
αρνειος	ἀρνειός
αροτρευς	ἀροτρεύς
αροτρον	ἄροτρον
ασπαστος	ἀσπαστός
αστεροπη	ἀστεροπή
αστραγαλος	ἀστράγαλος
αστραιος	ἀστραῖος
ατμος	ἀτμός
ατρειδης	Ἀτρείδης
αυλαξ	αὔλαξ
αυρα	αὔρα
αυτογονος	αὐτόγονος 
αυτος	αὐτός
αυτοτελης	αὐτοτελής
αφνειος	ἀφνειός
αχευω	ἀχεύω
βαιος	βαιός
βελεμνον	βέλεμνον
βλεφαρον	βλέφαρον
βρονταιος	βρονταῖος
βροτεη	βροτέη
βυθιος	βύθιος
βυθος	βυθός
γαια	γαῖα
γαληνη	γαλήνη
γμιος (γαμιος)	γάμιος
γενεθλη	γενέθλη
γενειον	γενείον
γενετη	γενετή
γηραλεος	γηραλέος
γλαυκος	γλαυκός
γλυκερος	γλυκερός
γνωτη	γνωτή
γυιον	γυῖον
δαιδαλεος	δαιδάλεος
δαιζω	δαΐζω
δαιμονιος	δαιμόνιος
δαις	δαίς
δακρυω	δακρύω
δαπεδον	δάπεδον
δε	δέ
δειλη	δειλή
δειμα	δεῖμα
δειπνον	δεῖπνον
δεσποινα	δέσποινα
δηιος	δηῖος
δηιοτης	δηιοτής
δημος	δῆμος
δηνος	δῆνος
δηρος	δηρός
δηω	δήω
διεξ	διέξ
διερος	διερός
διονυσος	Διόνυσος
διος	δῖος
διχθαδιος	διχθαδίος
δμωα	δμῶα
δμωις	δμωίς
δολιος	δόλιος
δρυς	δρῦς
δυστηνος	δύστηνος
εδωδη	ἐδωδή
εελδομαι	ἔελδομαι
εερση	ἐέρση
εαρ (ειαρ)	εἴαρ
εαρρινος (ειαρινος)	εἰαρινός
ειδω	εἴδω
ειδωλον	εἴδωλον
εικω	εἴκω
ειναλιος	εἰνάλιος
εις	εἷς
εκ	ἐκ
ελαφος	ἔλαφος
ελισσω	ἑλίσσω
εν	ἐν
εναυλος	ἐναύλος
εντος	ἐντός
επαισσω	ἐπαΐσσω
επειγω	ἐπείγω
επερχομαι	ἐπέρχομαι
επηετανος	ἐπηετανός
επιχθονιος	ἐπιχθόνιος
επουρανιος	ἐπουράνιος
ερειδω	ἐρείδω
ερετμα	ἐρετμά
ερευγω	ἐρεύγω
ερημος	ἐρήμος
εσμος	ἑσμός
εσπεριος	ἑσπέριος
εστεπτω	ἐστέπτω
εσχαρεων	ἐσχαρεών
ετερος	ἕτερος
ευ	εὖ
ευθρονος	εὔθρονος
ευπλοκαμος	εὐπλόκαμος
ευπυργος	εὔπυργος
ευπωλος	εὔπωλος
ευς	 ἐύς
ευσταθης	ἐυσταθής
ευτροχαλος	ἐυτρόχαλος
ευφραινω	εὐφραίνω
ευφρονεων	εὐφρονέων
ευφροσυνη	εὐφροσύνη
ευφρων	εὔφρων
εφετμη	ἐφετμή
ζυγιος	ζύγιος
ηβη	ἥβη
ηβητηρ	ἡβητήρ
ηδει	ἡδεῖ
ηεριος	ἠέριος
ηθας	ἠθάς
ηιθεος	ἠΐθεος
ηιθεω	ἠιθέω
ημιθανης	ἡμιθανής
ηχι	ἧχι
ηχω	ἠχώ
ηως	ἠώς
θαλαμος	θάλαμος
θαλυσια	θαλύσια
θεαινα	θεαῖνα
θεσμος	θεσμός
θεσπεσιος	θεσπέσιος
θηρα	θήρα
