δʼ	δέ
τʼ	τε
ἀλλʼ	ἀλλά
ἄρʼ	ἄρα
ἐπʼ	ἐπί
οὐδʼ	οὐδέ
σʼ	σύ
ὅδʼ	ὅδε
οἴκαδʼ	οἴκαδε
κτήματʼ	κτῆμα
κάκʼ	κακός
τάδʼ	ὅδε
μηδʼ	μηδέ
ποθʼ	ποτέ
τοῦτʼ	οὗτος
μήτʼ	μήτε
τήνδʼ	ὅδε
ὧδʼ	ὧδε
μητέρʼ	μήτηρ
τῶνδʼ	ὅδε
οὐτʼ	οὔτε
ἄγετʼ	ἄγω
εἵνεκʼ	ἕνεκα
μοῖρʼ	μοῖρα
τῇδʼ	ὅδε
ἥδʼ	ὅδε
ἄλγεʼ	ἄλγος
δῶρʼ	δῶρον
τοῦδʼ	ὅδε
ἔστʼ	εἰμί
ἔθελʼ	ἐθέλω
εἴθʼ	εἴτε
πήματʼ	πήμα
κεῖσʼ	κεῖμαι
πατρίδʼ	πατρίς
ὅσσʼ	ὅσος
κήδεʼ	κῆδος
Ζῆνʼ	ζεύς
γίνετʼ	γίγνομαι
δῶμʼ	δῶμα
εἶσʼ	εἶμι
πάρʼ	παρά
πείραθʼ	πεῖραρ
τέκεθʼ	τίκτω
τῆσδʼ	ὅδε
ὤλεθʼ	ὄλλυμι
μάλιστʼ	μάλιστα
μηρίʼ	μηρός
ὄνομʼ	ὄνομα
τινʼ	τις
γούναθʼ	γόνυ
εἴτʼ	εἴτε
ἔργʼ	ἔργον
γαστέρʼ	γαστήρ
πλατέʼ	πλατύς
ῥεῖʼ	ῥέω
ἄνδρʼ	ἀνήρ
ἀπερείσιʼ	ἀπερείσιος
ταῦτʼ	οὗτος
ἄνευθʼ	ἄνευθε
ἔσσεσθʼ	εἰμί
οὔτʼ	οὔτε
οὐκέτʼ	οὐκέτι
εἵματʼ	εἷμα
ὄφρʼ	ὄφρα
πείρατʼ	πεῖραρ
ὅσʼ	ὅσος
μεθʼ	μετά
πόλλʼ	πολύς
οὔθʼ	οὔτε
Ποσειδάωνʼ	Ποσειδάων
θέουσʼ	θέω
θύνοντʼ	θύνω
κέλετʼ	κελεύω
λῆγʼ	λήγω
μέγαρʼ	μέγαρον
μίʼ	εἷς
μίσγεσθʼ	μίγνυμι
μαλʼ	μάλα
νοσφίσατʼ	νοσφίζω
οἴκτρʼ	οἰκτρός
στόμʼ	στόμα
σχέτλιʼ	σχέτλιος
τόσʼ	τόσος
φρένʼ	φρήν
ἄστυδʼ	ἄστυ
ἔβλητʼ	βάλλω
ἔκτανʼ	κτείνω
ἔτεχʼ	τίκτω
ἤντησʼ	ἀντάω
ἤρατʼ	ἀράομαι
ἵκοιτʼ	ἱκνέομαι
ἶσʼ	ἴσος
ἕνεκʼ	ἕνεκα
ἐόντʼ	εἰμί
εἰσʼ	εἰμί
ἀντίʼ	ἀντί
ὄπʼ	ὄψ
ποτʼ	ποτέ
τάχʼ	τάχα
εἵμαθʼ	εἷμα
εὕδοντʼ	εὕδω
ἀγόρευʼ	ἀγορεύω
ἄλλοθʼ	ἄλλοθι
ἤματʼ	ἦμαρ
ὁππόσʼ	ὁπόσος
ὁπόσʼ	ὁπόσος
ἔθʼ	ἔτι
ἵνʼ	ἵνα
δώμαθʼ	δῶμα
γʼ	γε
λεύκʼ	λευκός
ἔχετʼ	ἔχω
ὀστέʼ	ὀστέον
μάλʼ	μάλα
παῖδʼ	παῖς
τοὔνεκʼ	ἕνεκα
αὐτόθʼ	αὐτόθι
μάρνασθʼ	μάρναμαι
μυρίʼ	μυρίος
πατέρʼ	πατήρ
ἠδʼ	ἠδέ
δῖʼ	δῖος
ἐλθόντʼ	ἔρχομαι
πάντʼ	πᾶς
ὁππότʼ	ὁπότε
δώματʼ	δῶμα
μετʼ	μετά
τῆλʼ	τῆλε
αἵδʼ	ὅδε
βάλλετʼ	βάλλω
γυναῖκʼ	γυνή
δάμασʼ	δαμάζω
δέρματʼ	δέρμα
δεξίʼ	δεξιός
διεσκέδασʼ	διασκεδάζω
δύσεθʼ	δύω
δώδεκʼ	δώδεκα
εἵλετʼ	αἱρέω
θεράποντʼ	θεράπων
κάθιζʼ	καθίζω
κάλλιπʼ	καταλείπω
κάλλιφʼ	καταλείπω
κέχρητʼ	χράω
κίονʼ	κίω
κλισίηνδʼ	κλισία
κτείνοντʼ	κτείνω
κτεῖνʼ	κτείνω
κύνʼ	κύων
λείπετʼ	λείπω
ληίδʼ	ληίς
λιμένʼ	λιμήν
μέμβλετʼ	μέλω
μήδετʼ	μήδομαι
μήνιʼ	μῆνις
μίμνʼ	μίμνω
μενοεικέʼ	μενοεικής
νήεσσʼ	ναῦς
νίζʼ	νίζω
ναίουσʼ	ναίω
οἶδμʼ	οἶδμα
οὔαθʼ	οὖς
πευθόμεθʼ	πυνθάνομαι
πηδάλιʼ	πηδάλιον
πλαζόμεθʼ	πλάζω
ποιήσατʼ	ποιέω
πολέσσʼ	πόλις
προπάροιθʼ	προπάροιθεν
πρώτισθʼ	πρώτιστος
πρῶθʼ	πρῶτος
σήμαθʼ	σῆμα
σπερχοίατʼ	σπέρχω
στέμματʼ	στέμμα
στρωφᾶσθʼ	στρωφάω
στρωφῶσʼ	στρωφάω
τέκʼ	τέκος
τέτατʼ	τίθημι
ταχέʼ	ταχύς
τείροντʼ	τείρω
τούνεκʼ	ἕνεκα
τούσδʼ	ὅδε
τράπεθʼ	τρέπω
τριηκόσιʼ	τριακόσιοι
φαίνοντʼ	φαίνω
χεῖμʼ	χεῖμα
χεῦʼ	χέω
ἀγλάʼ	ἀγλαός
ἀριπρεπέʼ	ἀριπρεπής
ἄναχθʼ	ἄναξ
ἅρμαθʼ	ἅρμα
Ἀχιλῆʼ	ἀχιλλεύς
